user_id,product_id,interaction_type,interaction_value
1,135,add_to_cart,0.5
1,183,add_to_cart,0.5
1,166,add_to_cart,0.5
1,383,view,0.1
1,498,view,0.1
1,381,add_to_cart,0.5
1,8,purchase,1.0
1,219,purchase,1.0
1,437,purchase,1.0
1,322,add_to_cart,0.5
1,176,add_to_cart,0.5
1,402,view,0.1
1,442,view,0.1
1,338,view,0.1
1,150,add_to_cart,0.5
2,443,add_to_cart,0.5
2,71,purchase,1.0
2,7,add_to_cart,0.5
2,285,add_to_cart,0.5
2,147,view,0.1
2,101,view,0.1
2,458,add_to_cart,0.5
2,368,purchase,1.0
2,44,purchase,1.0
2,215,add_to_cart,0.5
2,26,add_to_cart,0.5
2,143,purchase,1.0
2,28,purchase,1.0
2,27,add_to_cart,0.5
2,402,add_to_cart,0.5
2,48,purchase,1.0
2,61,purchase,1.0
2,361,add_to_cart,0.5
3,155,purchase,1.0
3,50,view,0.1
3,295,purchase,1.0
3,117,add_to_cart,0.5
3,181,view,0.1
3,153,purchase,1.0
3,140,add_to_cart,0.5
3,226,view,0.1
3,201,purchase,1.0
3,422,purchase,1.0
3,134,view,0.1
3,42,view,0.1
3,476,purchase,1.0
3,102,view,0.1
3,371,view,0.1
3,241,purchase,1.0
3,428,add_to_cart,0.5
4,277,purchase,1.0
4,359,add_to_cart,0.5
4,20,view,0.1
4,182,purchase,1.0
4,202,view,0.1
4,262,add_to_cart,0.5
4,254,view,0.1
4,432,add_to_cart,0.5
4,159,add_to_cart,0.5
4,447,purchase,1.0
4,122,add_to_cart,0.5
5,338,add_to_cart,0.5
5,369,purchase,1.0
5,406,view,0.1
5,70,add_to_cart,0.5
5,298,add_to_cart,0.5
5,213,add_to_cart,0.5
5,93,purchase,1.0
5,479,add_to_cart,0.5
5,71,purchase,1.0
5,201,view,0.1
5,267,purchase,1.0
5,61,view,0.1
5,168,add_to_cart,0.5
5,153,add_to_cart,0.5
5,138,add_to_cart,0.5
5,108,add_to_cart,0.5
5,206,add_to_cart,0.5
5,99,purchase,1.0
5,470,view,0.1
6,227,purchase,1.0
6,349,add_to_cart,0.5
6,80,purchase,1.0
6,427,view,0.1
7,449,purchase,1.0
8,27,purchase,1.0
8,392,add_to_cart,0.5
8,212,add_to_cart,0.5
8,354,add_to_cart,0.5
8,367,add_to_cart,0.5
8,140,purchase,1.0
8,261,view,0.1
8,452,add_to_cart,0.5
8,65,view,0.1
8,249,purchase,1.0
8,136,purchase,1.0
8,269,purchase,1.0
8,462,add_to_cart,0.5
8,310,add_to_cart,0.5
8,427,add_to_cart,0.5
9,94,purchase,1.0
9,384,view,0.1
9,206,purchase,1.0
9,439,purchase,1.0
9,38,view,0.1
9,134,view,0.1
9,144,purchase,1.0
9,240,add_to_cart,0.5
9,349,purchase,1.0
9,47,add_to_cart,0.5
9,419,purchase,1.0
9,204,purchase,1.0
9,351,add_to_cart,0.5
9,472,add_to_cart,0.5
9,70,view,0.1
9,159,add_to_cart,0.5
10,112,add_to_cart,0.5
10,242,view,0.1
10,151,view,0.1
